episode_id,el,plate,led,n_cand,max_eqe,chance,cls_gp,cls_gp_picks,cls_xrd,cls_xrd_picks,fm_prior,fm_prior_picks,fm_xrd,fm_xrd_picks,fm_xrd_nogap,fm_xrd_nogap_picks,fm_xrd_nomace,fm_xrd_nomace_picks
2298_20200218.144149_CA4,Co,2298,CA4,30,0.02399,0.51339,0.60648,15 18 12,1.0,14 9 0,0.80664,4 19 16,0.51704,24 19 5,1.0,14 19 9,0.19421,24 29 18
2298_20200218.162149_CA1,Co,2298,CA1,29,0.09101,0.66602,0.84564,14 17 11,0.84564,0 14 9,0.57543,3 18 15,0.76367,19 28 0,0.84564,14 9 0,0.84564,23 14 11
2298_20200218.162149_CA2,Co,2298,CA2,29,0.05917,0.46816,0.92763,14 17 11,0.92763,0 14 9,0.70771,3 18 15,0.27621,19 28 0,0.92763,14 9 0,0.92763,23 14 11
2298_20200218.162149_CA3,Co,2298,CA3,29,0.0332,0.42391,0.87655,14 17 11,0.87655,0 14 9,0.81755,3 18 15,0.02129,19 28 0,0.87655,14 9 0,0.87655,23 14 11
2298_20200218.162149_CA4,Co,2298,CA4,29,0.01371,0.36702,0.48375,14 17 11,0.48375,0 14 9,0.355,3 18 12,0.04625,19 28 0,0.48375,14 9 0,0.48375,23 14 11
2298_20200302.142742_CA1,Co,2298,CA1,30,0.24335,0.49596,1.0,15 12 18,0.94044,14 9 0,0.82169,4 20 16,0.20724,24 29 0,0.94044,14 19 9,1.0,19 15 29
2298_20200302.142742_CA2,Co,2298,CA2,30,0.14429,0.39623,0.99639,15 12 18,1.0,14 9 0,0.04477,4 20 0,0.05523,24 29 0,1.0,14 19 9,0.99639,19 15 29
2298_20200302.142742_CA3,Co,2298,CA3,30,0.07851,0.43967,1.0,15 12 18,0.91806,14 9 0,0.69861,4 20 16,0.04625,24 29 0,0.91806,14 19 9,0.91806,19 14 29
2298_20200302.142742_CA4,Co,2298,CA4,30,0.46433,0.16839,0.15043,15 12 8,0.02254,14 9 1,0.09879,4 20 16,0.0247,24 29 20,0.15896,14 19 7,0.15896,19 15 29
2300_20200218.144726_CA1,Zn,2300,CA1,28,0.34284,0.49429,0.27105,14 11 8,0.22806,14 18 10,1.0,15 0 7,0.22806,18 13 10,0.22806,18 13 10,0.22806,18 13 10
2300_20200218.144726_CA2,Zn,2300,CA2,28,0.2234,0.12527,0.02458,14 11 8,0.02952,14 18 10,0.02264,15 0 8,1.0,18 13 10,1.0,18 13 10,1.0,18 13 10
2300_20200218.144726_CA3,Zn,2300,CA3,28,0.00491,0.47772,0.21333,14 0 5,0.44222,14 18 8,0.37333,15 0 7,1.0,18 13 27,1.0,18 13 27,1.0,18 13 27
2300_20200218.144726_CA4,Zn,2300,CA4,28,0.01074,0.35947,0.11456,14 0 5,0.32039,14 18 8,0.59418,15 0 18,0.33204,18 13 10,0.33204,18 13 10,0.33204,18 13 10
