episode_id,el,plate,led,n_cand,max_eqe,chance,cls_gp,cls_gp_picks,cls_xrd,cls_xrd_picks,fm_prior,fm_prior_picks,fm_xrd,fm_xrd_picks,fm_xrd_nogap,fm_xrd_nogap_picks,fm_xrd_nomace,fm_xrd_nomace_picks,low,best_cls
4130_20200218.163122_CA4,Cu,4130,CA4,30,0.00149,0.48886,0.93678,15 0 5 29 21,0.02874,14 9 4 11 22,0.93678,15 0 5 29 22,0.93678,14 10 7 29 21,0.93678,14 10 7 29 21,0.93678,14 9 6 29 21,True,0.93678
4130_20220623.180314_CA2,Cu,4130,CA2,20,0.02401,0.79348,1.0,10 13 7 4 0,0.77874,10 6 0 4 19,1.0,10 7 4 19 0,0.77874,10 6 1 19 14,0.77874,10 6 1 19 14,0.77874,10 6 1 19 15,False,1.0
4130_20220623.180314_CA3,Cu,4130,CA3,20,0.0104,0.61183,0.56604,10 13 7 4 19,0.57862,10 6 1 4 19,0.56604,10 7 4 19 0,0.57862,10 6 1 19 4,0.57862,10 6 1 19 4,0.57862,10 6 2 19 14,False,0.57862
4130_20220623.180314_CA4,Cu,4130,CA4,20,0.00484,0.6926,0.68966,10 13 7 4 0,0.75862,10 6 0 4 8,0.68966,10 7 4 19 0,0.75862,10 6 1 8 14,0.75862,10 6 1 8 14,0.75862,10 6 1 8 15,True,0.75862
5406_20200218.143845_CA2,Cr,5406,CA2,29,0.26744,0.24593,0.06475,14 17 21 28 9,0.07892,9 19 25 15 28,0.06475,14 19 22 28 9,0.05941,9 26 21 0 17,0.05941,9 26 21 0 17,0.05941,9 26 21 0 17,False,0.07892
5406_20200218.143845_CA3,Cr,5406,CA3,29,0.07653,0.6028,0.4613,14 17 10 22 28,0.4613,9 19 25 14 28,1.0,14 19 10 4 0,0.47923,9 25 20 0 28,0.47923,9 25 20 0 28,0.47923,9 25 20 0 28,False,0.4613
5406_20200218.162452_CA3,Cr,5406,CA3,28,0.00869,0.93981,0.95275,14 11 18 22 27,0.95275,9 27 20 15 23,0.96264,13 19 25 0 22,0.95275,9 27 22 0 13,0.95275,9 27 22 0 13,0.95275,9 27 22 0 13,True,0.95275
5406_20200218.162452_CA4,Cr,5406,CA4,28,0.00457,0.69078,0.56285,14 0 27 22 8,0.82552,9 27 20 15 23,0.54972,13 19 0 7 27,1.0,9 27 22 0 16,1.0,9 27 22 0 16,1.0,9 27 22 0 16,True,0.82552
5407_20200218.144415_CA1,Cr,5407,CA1,29,0.08203,0.77394,0.9243,14 11 18 22 26,1.0,9 14 18 21 25,0.70296,14 20 22 27 8,0.63473,9 14 0 18 21,0.63473,9 14 0 18 21,0.63473,9 14 0 18 21,False,1.0
5407_20200218.144415_CA2,Cr,5407,CA2,29,0.03391,0.8109,0.89621,14 11 18 22 26,1.0,9 14 18 21 25,0.7673,14 20 22 27 9,0.7673,9 14 0 18 22,0.7673,9 14 0 18 22,0.7673,9 14 0 18 22,False,1.0
5407_20200218.144415_CA3,Cr,5407,CA3,29,0.03355,0.8923,1.0,14 11 8 19 22,0.89676,9 14 18 21 0,0.8146,14 20 22 10 6,0.84703,9 14 0 18 22,0.84703,9 14 0 18 22,0.84703,9 14 0 18 22,False,1.0
5407_20200218.162628_CA2,Cr,5407,CA2,28,0.0455,0.68302,0.87208,14 18 21 25 7,0.87208,9 18 14 21 25,0.9269,13 19 23 27 0,0.58071,9 0 18 21 26,0.58071,9 0 18 21 26,0.58071,9 0 18 21 26,False,0.87208
5407_20200218.162628_CA4,Cr,5407,CA4,28,0.46757,0.18693,0.01319,14 18 10 22 27,0.00953,9 18 14 0 24,0.01264,13 19 23 27 0,0.01558,9 0 18 21 25,0.01558,9 0 18 21 25,0.01558,9 0 18 21 25,False,0.01319
5415_20200218.143926_CA3,Fe,5415,CA3,30,0.10207,0.4573,0.57424,15 12 19 7 2,1.0,24 0 5 16 29,1.0,13 19 27 5 0,1.0,24 16 0 5 29,1.0,24 16 0 5 29,1.0,24 16 0 5 29,False,1.0
5415_20200218.161125_CA1,Fe,5415,CA1,30,0.04803,0.74806,0.79479,15 19 24 10 4,1.0,24 29 17 5 0,1.0,12 18 23 29 0,0.66358,24 29 17 13 8,0.66358,24 29 17 13 8,0.66358,24 29 17 13 8,False,1.0
5415_20200218.161125_CA3,Fe,5415,CA3,30,0.03796,0.44183,1.0,15 0 5 29 21,1.0,24 0 5 16 11,1.0,12 18 23 0 5,1.0,24 16 12 19 0,1.0,24 16 12 19 0,1.0,24 16 12 19 0,False,1.0
5415_20220623.175729_CA1,Fe,5415,CA1,22,0.23185,0.46482,1.0,11 9 7 4 0,1.0,18 0 4 13 9,0.26224,10 13 17 9 6,1.0,18 14 11 0 4,1.0,18 14 11 0 4,1.0,18 14 11 0 4,False,1.0
5415_20220623.175729_CA3,Fe,5415,CA3,22,0.16054,0.58139,1.0,11 0 4 21 15,1.0,18 0 4 13 9,0.38989,10 13 9 6 3,1.0,18 13 0 4 9,1.0,18 13 0 4 9,1.0,18 13 0 4 9,False,1.0
5415_20220623.175729_CA4,Fe,5415,CA4,22,0.07364,0.50297,1.0,11 0 4 21 15,1.0,18 0 4 13 9,1.0,10 14 21 0 4,1.0,18 13 11 0 4,1.0,18 13 11 0 4,1.0,18 13 11 0 4,False,1.0
5417_20200218.145212_CA1,Zn,5417,CA1,30,0.5395,0.43615,1.0,15 19 12 9 0,0.28955,19 29 12 9 15,1.0,16 0 7 29 11,1.0,19 29 13 10 0,1.0,19 29 13 10 0,0.39346,19 29 11 8 14,False,1.0
5417_20200218.145212_CA2,Zn,5417,CA2,30,0.00861,0.72906,0.6652,15 19 12 8 0,0.94612,19 29 11 8 14,0.39131,16 0 23 10 6,0.6652,19 29 12 9 0,0.6652,19 29 12 9 0,1.0,19 29 11 8 13,True,0.94612
5417_20200218.16281_CA1,Zn,5417,CA1,26,1.09397,0.60279,0.502,13 10 7 15 0,0.502,17 25 13 10 7,0.41022,13 0 14 8 25,0.502,17 13 10 7 0,0.502,17 13 10 7 0,0.502,17 25 13 10 7,False,0.502
5417_20200218.16281_CA3,Zn,5417,CA3,26,0.00456,0.62779,0.587,13 10 7 2 18,0.31447,17 25 13 9 14,0.24738,13 0 14 8 25,0.37526,17 13 25 14 10,0.37526,17 13 25 14 10,0.31447,17 25 13 9 5,True,0.587
5417_20200218.16281_CA4,Zn,5417,CA4,26,0.00285,0.594,1.0,13 0 4 25 15,0.36637,17 25 13 8 14,0.37237,13 0 19 6 9,0.36637,17 13 25 14 9,0.36637,17 13 25 14 9,0.36637,17 13 25 7 3,True,1.0
5418_20200218.145757_CA1,In,5418,CA1,28,0.14936,0.81263,0.82967,14 11 18 7 0,0.62558,0 8 11 16 20,1.0,15 6 19 27 10,0.62558,0 8 11 16 20,0.62558,0 8 11 16 20,0.62558,0 8 11 16 20,False,0.82967
5418_20200218.162858_CA2,In,5418,CA2,30,0.02257,0.62352,1.0,15 12 19 8 1,0.77953,0 9 12 19 25,0.84135,17 7 21 10 29,1.0,0 8 12 19 26,1.0,0 8 12 19 26,1.0,0 8 12 19 26,False,1.0
5435_20200218.14454_CA1,Pb,5435,CA1,29,0.04468,0.73329,0.94272,14 18 25 8 5,0.94272,0 5 14 8 21,0.83659,8 13 3 0 28,0.94272,14 0 5 8 28,0.94272,14 0 5 8 28,0.94272,0 5 14 8 28,False,0.94272
5435_20200218.14454_CA2,Pb,5435,CA2,29,0.03681,0.68947,0.84022,14 18 10 7 4,0.88143,0 5 14 8 21,0.99835,8 13 3 0 28,0.88143,14 0 5 8 28,0.88143,14 0 5 8 28,0.88143,0 5 14 8 28,False,0.88143
5435_20200218.14454_CA4,Pb,5435,CA4,29,0.01775,0.49853,0.59649,14 18 10 0 4,0.60351,0 5 14 8 21,0.80099,8 13 2 28 0,0.60351,14 0 5 8 28,0.60351,14 0 5 8 28,0.60351,0 5 8 14 28,False,0.60351
5435_20200218.163032_CA1,Pb,5435,CA1,29,0.07705,0.63595,0.89307,14 10 7 3 0,0.68904,0 5 14 8 28,1.0,8 13 6 2 28,0.68904,14 0 5 8 28,0.68904,14 0 5 8 28,0.68904,0 5 14 8 28,False,0.89307
5435_20200218.163032_CA2,Pb,5435,CA2,29,0.07926,0.61718,0.92156,14 10 7 3 0,0.61128,0 5 14 8 28,1.0,8 13 6 2 28,0.61128,14 0 5 8 28,0.61128,14 0 5 8 28,0.61128,0 5 14 8 28,False,0.92156
5435_20200218.163032_CA4,Pb,5435,CA4,29,0.0342,0.52696,0.61673,14 10 19 0 4,0.49474,0 5 14 8 28,0.95992,8 14 6 2 28,0.49474,14 0 5 8 28,0.49474,14 0 5 8 28,0.49474,0 5 8 14 28,False,0.61673
5435_20220623.112423_CA4,Pb,5435,CA4,29,0.00717,0.50706,0.54651,14 18 11 0 4,0.40117,0 5 14 10 20,0.54651,8 13 1 4 28,0.40117,14 0 5 10 21,0.40117,14 0 5 10 21,0.40117,0 5 14 28 10,True,0.54651
5436_20200218.145045_CA1,Y,5436,CA1,29,0.05349,0.88218,0.94188,14 18 22 26 6,0.96,9 0 16 23 28,0.96,24 28 15 10 0,0.96,9 0 16 21 25,0.96,9 0 16 21 25,0.96,9 0 16 21 25,False,0.96
5436_20200218.145045_CA2,Y,5436,CA2,29,0.06525,0.86529,0.88949,14 18 7 23 27,0.98034,9 0 28 23 17,0.98034,24 15 10 0 28,0.98034,9 0 16 21 25,0.98034,9 0 16 21 25,0.98034,9 0 16 21 25,False,0.98034
5436_20200218.145045_CA3,Y,5436,CA3,29,0.14146,0.86256,0.81045,14 18 22 26 7,0.92179,9 0 16 23 28,0.92179,24 15 28 10 0,0.92179,9 0 16 21 25,0.92179,9 0 16 21 25,0.92179,9 0 17 21 25,False,0.92179
5439_20200325.131306_CA3,Mg,5439,CA3,30,0.00293,0.47256,1.0,15 29 25 0 7,1.0,10 0 17 22 29,1.0,24 14 29 0 7,1.0,0 10 19 15 29,1.0,0 10 19 15 29,1.0,10 0 18 15 29,True,1.0
5439_20200325.131306_CA4,Mg,5439,CA4,30,0.00274,0.26837,0.33375,15 29 0 7 21,0.33375,10 0 17 22 29,0.00063,24 14 11 17 29,0.33375,0 10 19 15 29,0.33375,0 10 19 15 29,0.33375,10 0 18 15 29,True,0.33375
5439_20220623.17371_CA1,Mg,5439,CA1,29,0.0318,0.61182,0.8534,14 11 17 28 24,0.01773,9 16 0 19 13,0.8534,22 13 28 0 17,0.8534,23 28 0 13 17,0.04615,0 13 17 9 21,0.09651,9 0 15 19 22,False,0.8534
5439_20220623.17371_CA2,Mg,5439,CA2,29,0.00127,0.64186,1.0,14 11 17 20 28,0.18852,9 0 14 18 12,1.0,22 13 10 16 28,1.0,23 28 0 13 18,0.19672,0 13 17 9 20,0.18852,9 14 0 19 12,True,1.0
5439_20220623.17371_CA3,Mg,5439,CA3,29,0.00122,0.61685,0.85714,14 28 0 7 10,0.26786,9 16 0 20 25,0.25,22 13 10 17 28,1.0,0 11 17 6 20,1.0,0 11 17 6 20,0.26786,9 16 0 20 25,True,0.85714
5439_20220623.17371_CA4,Mg,5439,CA4,29,0.00367,0.40571,0.19318,14 11 7 28 20,0.44318,9 16 0 19 22,0.38636,22 13 28 18 0,0.44318,0 13 19 8 17,0.44318,0 13 19 8 17,0.44318,9 16 0 19 22,True,0.44318
5440_20200218.144829_CA2,Co,5440,CA2,28,0.04048,0.39677,0.34272,14 11 7 27 22,0.34272,22 27 17 0 9,0.34647,3 7 20 15 26,0.34647,0 26 21 8 16,0.34272,22 27 17 0 9,0.34272,22 27 0 8 13,False,0.34272
5440_20200218.144829_CA3,Co,5440,CA3,28,0.13686,0.21353,0.03921,14 27 22 19 0,0.03921,22 27 19 4 9,1.0,3 7 11 20 27,1.0,0 22 27 7 11,0.03921,22 27 19 4 9,0.03921,22 27 4 10 19,False,0.03921
5440_20200218.144829_CA4,Co,5440,CA4,28,0.0218,0.37674,0.49598,14 11 18 5 27,0.10312,22 27 16 13 0,0.49598,3 7 20 14 12,0.33482,0 26 20 8 11,0.10312,22 27 16 13 0,0.04821,22 0 27 8 12,False,0.49598
5440_20200218.162947_CA1,Co,5440,CA1,30,0.09443,0.70002,1.0,15 0 29 23 9,1.0,19 29 23 0 9,1.0,2 19 16 23 29,1.0,24 19 0 29 7,1.0,19 29 23 12 0,1.0,24 19 29 0 8,False,1.0
5440_20200218.162947_CA2,Co,5440,CA2,30,0.05332,0.66081,0.59799,15 12 18 0 29,0.93216,19 29 24 0 9,0.93216,2 19 13 29 24,0.93216,24 19 0 29 7,0.93216,19 29 24 11 0,0.93216,24 19 29 0 8,False,0.93216
5440_20200218.162947_CA4,Co,5440,CA4,30,0.00769,0.62244,0.83278,15 0 29 23 19,0.83278,19 29 22 15 0,0.83278,2 19 16 23 10,0.83278,24 19 5 29 15,0.83278,19 29 22 15 6,0.83278,24 19 29 5 15,True,0.83278
5445_20220623.175015_CA1,Al,5445,CA1,21,0.16682,0.67609,0.83487,10 8 12 14 17,0.42524,0 5 9 11 13,0.83487,10 8 12 14 17,1.0,13 10 16 20 7,1.0,13 10 16 20 7,0.83487,17 13 10 7 20,False,0.83487
5445_20220623.175015_CA2,Al,5445,CA2,21,0.03825,0.65784,1.0,10 8 12 14 17,0.56427,0 6 9 12 14,1.0,10 8 12 14 17,0.95289,13 10 16 20 7,0.95289,13 10 16 20 7,1.0,17 13 10 7 20,False,1.0
5717_20200218.145716_CA1,Fe,5717,CA1,29,2.1668,0.48557,1.0,14 11 8 4 0,1.0,0 6 11 18 28,0.47818,12 19 10 7 3,1.0,0 6 12 19 28,1.0,0 6 12 19 28,1.0,0 6 12 19 28,False,1.0
5717_20200218.145716_CA2,Fe,5717,CA2,29,1.02113,0.52356,1.0,14 0 5 28 20,1.0,0 6 11 18 28,0.55719,12 19 10 7 3,1.0,0 6 12 19 28,1.0,0 6 12 19 28,1.0,0 6 12 19 28,False,1.0
5717_20200218.145716_CA4,Fe,5717,CA4,29,0.02279,0.6487,0.85789,14 0 5 28 20,0.85789,0 6 11 18 28,0.85789,12 19 10 27 0,0.85789,0 6 12 19 28,0.85789,0 6 12 19 28,0.85789,0 6 12 19 28,False,0.85789
5717_20200218.161211_CA1,Fe,5717,CA1,30,1.43244,0.55296,0.07396,15 11 19 23 7,0.90021,0 6 12 19 29,0.90021,12 19 23 29 0,0.90021,0 6 12 19 29,0.90021,0 6 12 19 29,0.90021,0 6 12 19 29,False,0.90021
5717_20200218.161211_CA3,Fe,5717,CA3,30,0.148,0.60583,0.56301,15 0 5 9 25,0.41962,0 6 11 18 29,0.56301,12 19 28 5 0,0.41962,0 6 11 18 29,0.41962,0 6 11 18 29,0.41962,0 6 11 18 29,False,0.56301
5717_20200218.161211_CA4,Fe,5717,CA4,30,0.02189,0.54347,0.446,15 11 19 0 5,0.252,0 6 11 18 29,1.0,12 19 28 0 6,0.252,0 6 11 18 29,0.252,0 6 11 18 29,0.252,0 6 11 18 29,False,0.446
5929_20220623.1809_CA2,La,5929,CA2,29,0.01648,0.3708,0.93047,14 28 0 8 20,0.93047,14 0 28 23 8,0.93047,12 25 16 19 0,0.93047,23 28 14 0 7,0.93047,23 28 17 11 0,0.17699,23 28 16 12 19,False,0.93047
5929_20220623.1809_CA3,La,5929,CA3,29,0.06927,0.22402,0.1187,14 18 22 0 28,0.02361,14 0 23 28 10,0.01984,12 25 19 17 21,0.1187,14 0 10 18 21,0.00976,23 28 17 11 5,0.06832,23 28 16 12 19,False,0.1187
5930_20200325.131034_CA3,Mg,5930,CA3,27,0.00042,0.56736,0.60045,13 26 23 0 18,0.60045,9 0 16 20 26,0.60045,23 12 26 0 17,0.31603,9 17 0 14 20,0.31603,9 17 0 14 20,0.60045,13 0 7 18 26,True,0.60045
5930_20200325.131034_CA4,Mg,5930,CA4,27,0.00475,0.20846,0.06986,13 26 23 0 8,0.0361,9 0 16 20 13,0.06986,23 12 26 0 17,0.00903,9 17 0 14 20,0.00903,9 17 0 14 20,0.06986,13 0 7 18 26,True,0.06986
