episode_id,source,chem,plate,n_cand,dims,max_merit,chance,cls_gp,cls_xrd,fm_prior,fm_xrd,fm_xrd_nogap,fm_xrd_nomace,cluster
4014_20200218.161037_CA3,base,Ag-Sb,4014,27,1,0.133287101248266,0.59726,0.36609,0.36609,0.92186,0.36609,0.36609,0.36609,Ag-Sb
4014_20200218.161037_CA4,base,Ag-Sb,4014,27,1,1.02755437288136,0.14307,0.01094,0.01094,0.06204,0.01094,0.01094,0.01094,Ag-Sb
4014_20200318.204926_CA2,base,Ag-Sb,4014,29,1,0.893058776086299,0.53499,0.45366,0.45366,0.97054,0.45366,0.45366,0.45366,Ag-Sb
4014_20200318.204926_CA3,base,Ag-Sb,4014,29,1,0.936061291684255,0.25325,1.0,0.11634,0.06524,0.11634,0.11634,0.11634,Ag-Sb
4014_20200318.204926_CA4,base,Ag-Sb,4014,29,1,1.92897062146893,0.18872,1.0,0.14754,1.0,0.14754,0.14754,0.14754,Ag-Sb
4130_20200218.144235_CA1,base,Cu-Sb,4130,29,1,0.127090053475936,0.32852,0.03322,0.0286,0.04424,0.03322,0.03322,0.02042,Cu-Sb
4130_20200218.144235_CA2,base,Cu-Sb,4130,29,1,0.0188450476190476,0.38702,0.15044,0.12096,0.1696,0.15044,0.15044,0.1107,Cu-Sb
4130_20200218.144235_CA3,base,Cu-Sb,4130,29,1,0.0175936040878896,0.50662,0.29562,0.21224,0.34496,0.29562,0.29562,0.22413,Cu-Sb
4130_20200218.144235_CA4,base,Cu-Sb,4130,29,1,0.0161945669839796,0.61785,0.35259,0.27793,0.43259,1.0,1.0,0.64963,Cu-Sb
4130_20200218.163122_CA1,base,Cu-Sb,4130,30,1,0.141479482498611,0.32196,0.05507,0.04122,0.03671,0.04122,0.04122,0.04122,Cu-Sb
4130_20200218.163122_CA2,base,Cu-Sb,4130,30,1,0.0157982261640798,0.34207,0.08275,0.09474,0.08275,0.16287,0.16287,0.09474,Cu-Sb
4130_20200218.163122_CA3,base,Cu-Sb,4130,30,1,0.0035352210818307,0.49762,0.04162,0.4054,0.04162,0.4054,0.4054,0.4054,Cu-Sb
4130_20200218.163122_CA4,base,Cu-Sb,4130,30,1,0.0014908789386401,0.33272,0.16437,0.02874,0.16437,0.02299,0.02299,0.02874,Cu-Sb
4130_20220623.180314_CA1,base,Cu-Sb,4130,20,1,0.104881025108225,0.65019,0.81848,0.70383,0.81848,0.70383,0.70383,0.70383,Cu-Sb
4130_20220623.180314_CA2,base,Cu-Sb,4130,20,1,0.0240127956447222,0.65728,1.0,0.77874,1.0,0.77874,0.77874,0.77874,Cu-Sb
4130_20220623.180314_CA3,base,Cu-Sb,4130,20,1,0.010403123680878,0.47768,0.56604,0.57862,0.56604,0.57862,0.57862,0.57862,Cu-Sb
4130_20220623.180314_CA4,base,Cu-Sb,4130,20,1,0.0048372359967715,0.54735,0.68966,0.75862,0.68966,0.75862,0.75862,0.75862,Cu-Sb
5406_20200218.143845_CA1,base,Cr-Sb,5406,29,1,0.0532889289533996,0.71105,0.53574,0.88719,0.60936,0.88719,0.88719,0.88719,Cr-Sb
5406_20200218.143845_CA2,base,Cr-Sb,5406,29,1,0.267441428571429,0.17333,0.05941,0.07892,0.04998,0.05925,0.05925,0.05925,Cr-Sb
5406_20200218.143845_CA3,base,Cr-Sb,5406,29,1,0.0765310005109862,0.5077,0.4613,0.44418,0.4613,0.44418,0.44418,0.44418,Cr-Sb
